Date,Ward,Temp,Humidity,Rainfall,Wind_Speed,Dew_Point,pH,Turbidity,Dissolved_Oxygen,BOD,Qi_pH,Qi_Turbidity,Qi_Dissolved_Oxygen,Qi_BOD,WQI,Reported_Cases,Disease_Type,Hospital_Admissions,Fatalities
2024-01-01,Ward-1,40.8,55.4,42.4,31.9,13.2,7.08,5.52,7.05,4.22,5.3333333333333375,110.4,78.64583333333334,140.66666666666666,84.96358333333335,102,Malaria,7,6
2024-01-05,Ward-1,14.3,47.0,12.2,36.8,20.7,7.24,5.1,6.18,2.76,16.000000000000014,102.0,87.70833333333333,92.0,75.42083333333333,86,Typhoid,73,2
2024-01-10,Ward-1,19.0,35.3,49.9,31.5,5.5,7.08,5.25,7.74,4.01,5.3333333333333375,105.0,71.45833333333333,133.66666666666666,79.69583333333334,52,Dengue,32,0
2024-01-10,Ward-1,19.0,35.3,49.9,31.5,5.5,7.08,5.25,7.74,4.01,5.3333333333333375,105.0,71.45833333333333,133.66666666666666,79.69583333333334,1,Cholera,0,3
2024-01-10,Ward-1,19.0,35.3,49.9,31.5,5.5,7.48,3.39,8.27,3.39,32.00000000000003,67.80000000000001,65.9375,113.0,71.94675000000001,52,Dengue,32,0
2024-01-10,Ward-1,19.0,35.3,49.9,31.5,5.5,7.48,3.39,8.27,3.39,32.00000000000003,67.80000000000001,65.9375,113.0,71.94675000000001,1,Cholera,0,3
2024-01-10,Ward-1,14.3,20.8,193.4,4.7,22.9,7.08,5.25,7.74,4.01,5.3333333333333375,105.0,71.45833333333333,133.66666666666666,79.69583333333334,52,Dengue,32,0
2024-01-10,Ward-1,14.3,20.8,193.4,4.7,22.9,7.08,5.25,7.74,4.01,5.3333333333333375,105.0,71.45833333333333,133.66666666666666,79.69583333333334,1,Cholera,0,3
2024-01-10,Ward-1,14.3,20.8,193.4,4.7,22.9,7.48,3.39,8.27,3.39,32.00000000000003,67.80000000000001,65.9375,113.0,71.94675000000001,52,Dengue,32,0
2024-01-10,Ward-1,14.3,20.8,193.4,4.7,22.9,7.48,3.39,8.27,3.39,32.00000000000003,67.80000000000001,65.9375,113.0,71.94675000000001,1,Cholera,0,3
2024-01-13,Ward-1,16.2,71.1,195.0,37.1,28.3,7.22,3.49,8.74,4.57,14.66666666666665,69.80000000000001,61.04166666666666,152.33333333333334,77.80216666666666,107,Cholera,30,1
2024-01-18,Ward-1,15.8,55.8,133.5,32.9,22.5,7.21,5.67,8.23,1.84,13.999999999999998,113.4,66.35416666666666,61.33333333333334,60.95775,59,Flu,68,3
2024-01-22,Ward-1,19.1,91.2,95.4,44.2,27.6,6.64,1.08,8.72,2.53,-24.00000000000002,21.6,61.24999999999999,84.33333333333333,42.61433333333333,21,Flu,62,1
2024-02-03,Ward-1,32.8,34.8,147.9,15.4,25.7,7.68,2.46,7.05,4.91,45.333333333333314,49.2,78.64583333333334,163.66666666666669,90.41158333333334,6,COVID-19,70,0
2024-02-04,Ward-1,13.7,71.9,199.4,7.4,22.5,6.92,4.78,8.02,1.26,-5.3333333333333375,95.6,68.54166666666667,42.0,49.18683333333334,72,Typhoid,20,5
2024-02-12,Ward-1,16.5,78.1,46.9,26.2,13.0,7.15,4.5,6.72,3.99,10.000000000000025,90.0,82.08333333333333,133.0,81.74833333333333,35,Malaria,11,1
2024-02-12,Ward-1,16.5,78.1,46.9,26.2,13.0,7.15,4.5,6.72,3.99,10.000000000000025,90.0,82.08333333333333,133.0,81.74833333333333,49,Malaria,4,7
2024-02-12,Ward-1,16.5,78.1,46.9,26.2,13.0,7.12,5.24,7.35,4.63,8.000000000000007,104.8,75.52083333333334,154.33333333333331,87.41841666666667,35,Malaria,11,1
2024-02-12,Ward-1,16.5,78.1,46.9,26.2,13.0,7.12,5.24,7.35,4.63,8.000000000000007,104.8,75.52083333333334,154.33333333333331,87.41841666666667,49,Malaria,4,7
2024-02-12,Ward-1,40.0,64.9,28.4,15.2,8.0,7.15,4.5,6.72,3.99,10.000000000000025,90.0,82.08333333333333,133.0,81.74833333333333,35,Malaria,11,1
2024-02-12,Ward-1,40.0,64.9,28.4,15.2,8.0,7.15,4.5,6.72,3.99,10.000000000000025,90.0,82.08333333333333,133.0,81.74833333333333,49,Malaria,4,7
2024-02-12,Ward-1,40.0,64.9,28.4,15.2,8.0,7.12,5.24,7.35,4.63,8.000000000000007,104.8,75.52083333333334,154.33333333333331,87.41841666666667,35,Malaria,11,1
2024-02-12,Ward-1,40.0,64.9,28.4,15.2,8.0,7.12,5.24,7.35,4.63,8.000000000000007,104.8,75.52083333333334,154.33333333333331,87.41841666666667,49,Malaria,4,7
2024-02-13,Ward-1,16.9,68.2,10.1,36.6,18.1,7.05,2.38,7.11,2.83,3.333333333333321,47.6,78.02083333333333,94.33333333333334,61.28975,3,Malaria,36,8
2024-02-26,Ward-1,24.0,40.4,88.0,47.7,28.8,7.48,2.87,7.7,1.23,32.00000000000003,57.400000000000006,71.875,41.0,52.14150000000001,86,Cholera,18,0
2024-03-02,Ward-1,32.4,71.8,140.9,46.8,16.6,6.73,1.12,8.18,4.49,-17.99999999999997,22.4,66.875,149.66666666666669,64.26816666666667,110,Dengue,27,2
2024-03-04,Ward-1,22.4,66.4,64.1,39.6,10.7,7.07,3.86,5.73,2.45,4.666666666666686,77.2,92.39583333333331,81.66666666666667,67.65991666666667,108,Cholera,17,9
2024-03-06,Ward-1,18.5,94.5,156.4,11.1,26.3,7.66,5.64,6.97,2.39,44.000000000000014,112.79999999999998,79.47916666666667,79.66666666666667,77.05758333333334,28,COVID-19,48,5
2024-03-07,Ward-1,22.1,63.1,19.9,41.3,21.7,6.79,4.49,4.76,2.38,-13.999999999999998,89.8,102.5,79.33333333333333,68.35133333333334,64,Cholera,74,6
2024-03-09,Ward-1,34.2,57.6,123.3,8.3,29.8,6.94,2.61,4.36,2.32,-3.999999999999974,52.2,106.66666666666669,77.33333333333333,65.39200000000001,70,Cholera,73,2
2024-03-09,Ward-1,34.2,57.6,123.3,8.3,29.8,6.94,2.61,4.36,2.32,-3.999999999999974,52.2,106.66666666666669,77.33333333333333,65.39200000000001,8,Flu,38,1
2024-03-09,Ward-1,34.2,57.6,123.3,8.3,29.8,7.43,4.24,8.98,3.35,28.666666666666647,84.80000000000001,58.54166666666666,111.66666666666669,71.04549999999999,70,Cholera,73,2
2024-03-09,Ward-1,34.2,57.6,123.3,8.3,29.8,7.43,4.24,8.98,3.35,28.666666666666647,84.80000000000001,58.54166666666666,111.66666666666669,71.04549999999999,8,Flu,38,1
2024-03-09,Ward-1,35.5,69.1,126.7,37.6,15.6,6.94,2.61,4.36,2.32,-3.999999999999974,52.2,106.66666666666669,77.33333333333333,65.39200000000001,70,Cholera,73,2
